Class Name,Class ID
"tench, Tinca tinca",0
"goldfish, Carassius auratus",1
"great white shark, white shark, man-eater, man-eating shark, Carcharodon caharias',",2
"tiger shark, Galeocerdo cuvieri",3
"hammerhead, hammerhead shark",4
"electric ray, crampfish, numbfish, torpedo",5
stingray,6
cock,7
hen,8
"ostrich, Struthio camelus",9
"brambling, Fringilla montifringilla",10
"goldfinch, Carduelis carduelis",11
"house finch, linnet, Carpodacus mexicanus",12
"junco, snowbird",13
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",14
"robin, American robin, Turdus migratorius",15
bulbul,16
jay,17
magpie,18
chickadee,19
"water ouzel, dipper",20
kite,21
"bald eagle, American eagle, Haliaeetus leucocephalus",22
vulture,23
"great grey owl, great gray owl, Strix nebulosa",24
"European fire salamander, Salamandra salamandra",25
"common newt, Triturus vulgaris",26
eft,27
"spotted salamander, Ambystoma maculatum",28
"axolotl, mud puppy, Ambystoma mexicanum",29
"bullfrog, Rana catesbeiana",30
"tree frog, tree-frog",31
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",32
"loggerhead, loggerhead turtle, Caretta caretta",33
"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",34
mud turtle,35
terrapin,36
"box turtle, box tortoise",37
banded gecko,38
"common iguana, iguana, Iguana iguana",39
"American chameleon, anole, Anolis carolinensis",40
"whiptail, whiptail lizard",41
agama,42
"frilled lizard, Chlamydosaurus kingi",43
alligator lizard,44
"Gila monster, Heloderma suspectum",45
"green lizard, Lacerta viridis",46
"African chameleon, Chamaeleo chamaeleon",47
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoeis',",48
"African crocodile, Nile crocodile, Crocodylus niloticus",49
"American alligator, Alligator mississipiensis",50
triceratops,51
"thunder snake, worm snake, Carphophis amoenus",52
"ringneck snake, ring-necked snake, ring snake",53
"hognose snake, puff adder, sand viper",54
"green snake, grass snake",55
"king snake, kingsnake",56
"garter snake, grass snake",57
water snake,58
vine snake,59
"night snake, Hypsiglena torquata",60
"boa constrictor, Constrictor constrictor",61
"rock python, rock snake, Python sebae",62
"Indian cobra, Naja naja",63
green mamba,64
sea snake,65
"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",66
"diamondback, diamondback rattlesnake, Crotalus adamanteus",67
"sidewinder, horned rattlesnake, Crotalus cerastes",68
trilobite,69
"harvestman, daddy longlegs, Phalangium opilio",70
scorpion,71
"black and gold garden spider, Argiope aurantia",72
"barn spider, Araneus cavaticus",73
"garden spider, Aranea diademata",74
"black widow, Latrodectus mactans",75
tarantula,76
"wolf spider, hunting spider",77
tick,78
centipede,79
black grouse,80
ptarmigan,81
"ruffed grouse, partridge, Bonasa umbellus",82
"prairie chicken, prairie grouse, prairie fowl",83
peacock,84
quail,85
partridge,86
"African grey, African gray, Psittacus erithacus",87
macaw,88
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",89
lorikeet,90
coucal,91
bee eater,92
hornbill,93
hummingbird,94
jacamar,95
toucan,96
drake,97
"red-breasted merganser, Mergus serrator",98
goose,99
"black swan, Cygnus atratus",100
tusker,101
"echidna, spiny anteater, anteater",102
"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhyhus anatinus',",103
"wallaby, brush kangaroo",104
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",105
wombat,106
jellyfish,107
"sea anemone, anemone",108
brain coral,109
"flatworm, platyhelminth",110
"nematode, nematode worm, roundworm",111
conch,112
snail,113
slug,114
"sea slug, nudibranch",115
"chiton, coat-of-mail shell, sea cradle, polyplacophore",116
"chambered nautilus, pearly nautilus, nautilus",117
"Dungeness crab, Cancer magister",118
"rock crab, Cancer irroratus",119
fiddler crab,120
"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodesamtschatica',",121
"American lobster, Northern lobster, Maine lobster, Homarus americanus",122
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",123
"crayfish, crawfish, crawdad, crawdaddy",124
hermit crab,125
isopod,126
"white stork, Ciconia ciconia",127
"black stork, Ciconia nigra",128
spoonbill,129
flamingo,130
"little blue heron, Egretta caerulea",131
"American egret, great white heron, Egretta albus",132
bittern,133
"crane, bird",134
"limpkin, Aramus pictus",135
"European gallinule, Porphyrio porphyrio",136
"American coot, marsh hen, mud hen, water hen, Fulica americana",137
bustard,138
"ruddy turnstone, Arenaria interpres",139
"red-backed sandpiper, dunlin, Erolia alpina",140
"redshank, Tringa totanus",141
dowitcher,142
"oystercatcher, oyster catcher",143
pelican,144
"king penguin, Aptenodytes patagonica",145
"albatross, mollymawk",146
"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius rostus',",147
"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",148
"dugong, Dugong dugon",149
sea lion,150
Chihuahua,151
Japanese spaniel,152
"Maltese dog, Maltese terrier, Maltese",153
"Pekinese, Pekingese, Peke",154
Shih-Tzu,155
Blenheim spaniel,156
papillon,157
toy terrier,158
Rhodesian ridgeback,159
"Afghan hound, Afghan",160
